 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       6351173      464340184  [B (java.base@11.0.14)
   2:       5600424      134410176  java.lang.String (java.base@11.0.14)
   3:       2794065      111762600  java.util.LinkedHashMap$Entry (java.base@11.0.14)
   4:       2882673       69184152  java.lang.Long (java.base@11.0.14)
   5:        853043       68181376  [Ljava.util.HashMap$Node; (java.base@11.0.14)
   6:       1507751       64590960  [Ljava.lang.Object; (java.base@11.0.14)
   7:       1440703       46102496  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.14)
   8:        844196       40521408  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@11.0.14)
   9:        708007       39648392  java.util.LinkedHashMap (java.base@11.0.14)
  10:        703198       39379088  com.staros.shard.Shard
  11:       1497414       35937936  java.util.ArrayList (java.base@11.0.14)
  12:       1406398       33753552  com.google.protobuf.MapField$MutatabilityAwareMap$MutatabilityAwareSet
  13:        672687       26907480  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@11.0.14)
  14:        703355       22507360  java.util.Collections$UnmodifiableMap (java.base@11.0.14)
  15:        703199       22502368  com.google.protobuf.MapField
  16:         12711       20844488  [I (java.base@11.0.14)
  17:        844188       20260512  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@11.0.14)
  18:        773802       18571248  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.14)
  19:        703199       16876776  com.google.protobuf.MapField$MutatabilityAwareMap
  20:        703198       16876752  com.staros.filestore.FilePath
  21:        703198       16876752  com.staros.replica.Replica
  22:        844221       13507536  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock (java.base@11.0.14)
  23:        844221       13507536  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter (java.base@11.0.14)
  24:        844221       13507536  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock (java.base@11.0.14)
  25:        389155       12452960  java.util.HashMap$Node (java.base@11.0.14)
  26:        704268       11268288  java.util.Collections$UnmodifiableSet (java.base@11.0.14)
  27:        703705       11259280  java.util.LinkedHashMap$LinkedKeySet (java.base@11.0.14)
  28:        703286       11252576  java.util.LinkedHashMap$LinkedEntrySet (java.base@11.0.14)
  29:        703200       11251200  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet (java.base@11.0.14)
  30:        703199       11251184  com.google.protobuf.MapField$ImmutableMessageConverter
  31:        703198       11251168  com.staros.filecache.FileCache
  32:           435        8703464  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.14)
  33:        147603        7084944  java.util.HashMap (java.base@11.0.14)
  34:        284145        6819480  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter (java.base@11.0.14)
  35:         70115        5609200  com.starrocks.catalog.TabletMeta
  36:         70324        4500736  com.staros.shard.ShardGroup
  37:        141662        2266592  java.util.HashMap$EntrySet (java.base@11.0.14)
  38:        141200        2259200  java.util.HashMap$KeySet (java.base@11.0.14)
  39:         17789        2137368  java.lang.Class (java.base@11.0.14)
  40:         18485        1330920  java.lang.reflect.Field (java.base@11.0.14)
  41:         54496        1307904  com.sleepycat.je.tree.LN
  42:           592         609792  [Lorg.antlr.v4.runtime.dfa.DFAState;
  43:         17202         550464  org.antlr.v4.runtime.atn.ATNConfig
  44:          3649         482704  [J (java.base@11.0.14)
  45:         14798         473536  jdk.nio.zipfs.ZipPath (jdk.zipfs@11.0.14)
  46:         26168         418688  java.lang.Object (java.base@11.0.14)
  47:           480         322560  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  48:           214         311648  [C (java.base@11.0.14)
  49:          7742         309680  org.antlr.v4.runtime.atn.BasicState
  50:          6273         250920  java.lang.ref.SoftReference (java.base@11.0.14)
  51:         14798         236768  com.sun.tools.javac.file.RelativePath$RelativeDirectory (jdk.compiler@11.0.14)
  52:           453         232240  [Lcom.sleepycat.je.tree.Node;
  53:           320         215040  io.grpc.netty.shaded.io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  54:          2106         185328  java.lang.reflect.Method (java.base@11.0.14)
  55:          7241         173784  org.antlr.v4.runtime.atn.EpsilonTransition
  56:          7238         173712  scala.collection.immutable.$colon$colon
  57:             5         163920  [Ljava.util.concurrent.ForkJoinTask; (java.base@11.0.14)
  58:          1642         144496  com.starrocks.catalog.AggregateFunction
  59:          2908         139584  java.lang.invoke.MemberName (java.base@11.0.14)
  60:          3423         136920  org.sparkproject.guava.collect.MapMakerInternalMap$WeakEntry
  61:          4225         135200  jdk.internal.reflect.UnsafeQualifiedObjectFieldAccessorImpl (java.base@11.0.14)
  62:          4117         131744  com.codahale.metrics.WeightedSnapshot$WeightedSample
  63:          8192         131072  io.opencensus.impl.internal.DisruptorEventQueue$DisruptorEvent
  64:          3232         129280  org.antlr.v4.runtime.atn.LexerATNConfig
  65:          5285         126840  org.antlr.v4.runtime.atn.AtomTransition
  66:            45         119912  [Ljava.nio.channels.SelectionKey; (java.base@11.0.14)
  67:           984         102336  io.opencensus.implcore.trace.RecordEventsSpanImpl
  68:          2547         101880  java.lang.invoke.MethodType (java.base@11.0.14)
  69:          4210         101040  java.util.concurrent.ConcurrentSkipListMap$Node (java.base@11.0.14)
  70:          4143          99432  java.lang.Double (java.base@11.0.14)
  71:          2060          98880  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.14)
  72:          3749          98536  [Ljava.lang.Class; (java.base@11.0.14)
  73:          3073          98336  jdk.internal.reflect.UnsafeObjectFieldAccessorImpl (java.base@11.0.14)
  74:          1969          94512  com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$1
  75:          1343          85952  io.grpc.netty.shaded.io.netty.buffer.PoolSubpage
  76:            97          84296  [Z (java.base@11.0.14)
  77:          3441          82584  java.util.ArrayDeque (java.base@11.0.14)
  78:          3423          82152  org.apache.spark.util.SizeEstimator$ClassInfo
  79:          2549          81568  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.14)
  80:          1268          81152  java.util.concurrent.ConcurrentHashMap (java.base@11.0.14)
  81:          3248          77952  org.antlr.v4.runtime.misc.Interval
  82:           440          77440  com.sleepycat.je.tree.BIN
  83:          2391          76512  jdk.internal.jimage.ImageReader$Resource (java.base@11.0.14)
  84:          1077          75544  [Ljava.lang.String; (java.base@11.0.14)
